unique_prompt_id,Accuracy,Precision,Recall,F1 Score,Confusion Matrix,None Count,Label Balance
DND,0.4643220166700549,0.4801587301587302,0.8607723577235772,0.616448326055313,333 4585 685 4235,162,0.2069526326489124
DNM,0.49430845169739096,0.4966326530612245,0.982438433589019,0.6597532872441372,40 4933 87 4867,73,0.025586783519693766
DNS,0.4245983935742972,0.4541284403669725,0.7567893783946892,0.5676348547717842,467 4522 1209 3762,40,0.3365461847389558
DYD,0.45317345462063263,0.4731901912472134,0.8344713428512311,0.6039233303384247,351 4490 800 4033,326,0.23795741161877196
DYM,0.44697660285627466,0.4683276530732166,0.8097947571631782,0.5934475055845123,428 4524 936 3985,127,0.27630912589891626
DYS,0.3385913794835728,0.34304018637157835,0.35581957309706,0.3493130374616981,1603 3384 3199 1767,47,0.9649351954184668
MND,0.34863980364082636,0.3924731182795699,0.5524647167109838,0.45892447540565795,708 4181 2188 2701,222,0.592350173859685
MNM,0.466157095444031,0.48146570089475926,0.9112903225806451,0.6300529690549206,115 4868 440 4520,57,0.11163632706426632
MNS,0.3804555031604294,0.42164422951248204,0.6483118971061094,0.510968559436129,566 4425 1750 3226,33,0.4647336209491321
MYD,0.38969286829776156,0.42758260415306254,0.6888281085630128,0.5276390008058017,469 4383 1479 3274,395,0.4056220718375846
MYM,0.3855482566953007,0.4229481858347838,0.6409007912355448,0.50959832231005,656 4310 1770 3159,105,0.4903486609398686
MYS,0.2747164508682124,0.23380614657210402,0.19883393646964215,0.21490656236418948,1748 3241 3985 989,37,0.8491418247515808
SND,0.37489600665557404,0.4157110091743119,0.5997931747673216,0.4910676488019643,705 4076 1935 2900,384,0.5490848585690515
SNM,0.44924318869828456,0.4718725632171104,0.8552392489400363,0.608183776022972,216 4741 717 4236,90,0.18829465186680122
SNS,0.45721173161912415,0.47624346277957047,0.8599557966646574,0.6130048696648525,272 4707 697 4280,44,0.1946564885496183
SYD,0.3893720831565549,0.4277966101694915,0.6724211423699915,0.5229137316648711,516 4220 1537 3155,572,0.43551124310564276
SYM,0.3498183286233347,0.37966537966537967,0.47715325515568136,0.4228632861494356,1106 3856 2586 2360,92,0.7452563584981833
SYS,0.2514807750225881,0.18202824133504492,0.14239807190198836,0.1597926526932612,1796 3186 4270 709,39,0.7820499949804236
